contract,path,complexity_score
KYCAttributes,contracts/tokenmarketnet/contracts/security-token/KYCAttributes.sol,0.01552
ReturnValue,contracts/ReturnValue.sol,0.02644
IERC677,contracts/ERC20/IERC677.sol,0.02716
IERC677Receiver,contracts/ERC20/IERC677Receiver.sol,0.02748
BrokerbotLib,contracts/utils/BrokerbotLib.sol,0.02964
FractionalERC20,contracts/tokenmarketnet/contracts/FractionalERC20.sol,0.03052
AdminProxy,contracts/permissioning/contracts/AdminProxy.sol,0.0338
SecurityTransferAgentInterface,contracts/tokenmarketnet/contracts/security-token/SecurityTransferAgentInterface.sol,0.03508
KYCInterface,contracts/tokenmarketnet/contracts/security-token/KYCInterface.sol,0.0358
PreICOProxyBuyer_EventCompatibility,contracts/tokenmarketnet/contracts/PreICOProxyBuyer_EventCompatibility.sol,0.0366
MultichainWalletArgumentSource,contracts/multisig/MultichainWalletArgumentSource.sol,0.03748
ERC677Token,contracts/tokenmarketnet/contracts/security-token/ERC677Token.sol,0.04028
Rollout,contracts/multisig/Rollout.sol,0.04052
MultiSigWalletMaster,contracts/multisig/MultiSigWalletMaster.sol,0.04088
PriceOracle,contracts/compound/contracts/PriceOracle.sol,0.04104
Adoption,contracts/Adoption.sol,0.0416
IOfferFactory,contracts/draggable/IOfferFactory.sol,0.04356
IBeacon,contracts/IBeacon.sol,0.04396
IAuthority,contracts/IAuthority.sol,0.044
NodeRulesProxy,contracts/permissioning/contracts/NodeRulesProxy.sol,0.04612
NullFinalizeAgent,contracts/tokenmarketnet/contracts/NullFinalizeAgent.sol,0.0464
Voting,contracts/Voting.sol,0.04979
Recoverable,contracts/tokenmarketnet/contracts/Recoverable.sol,0.05148
UpgradeAgent,contracts/tokenmarketnet/contracts/UpgradeAgent.sol,0.05276
AnnouncementInterface,contracts/tokenmarketnet/contracts/security-token/AnnouncementInterface.sol,0.0532
CErc20Delegate,contracts/compound/contracts/CErc20Delegate.sol,0.0534
StandardTokenExt,contracts/tokenmarketnet/contracts/StandardTokenExt.sol,0.05408
MultichainSharesMaster,contracts/multichain/MultichainSharesMaster.sol,0.05512
FinalizeAgent,contracts/tokenmarketnet/contracts/FinalizeAgent.sol,0.05584
DefaultFinalizeAgent,contracts/tokenmarketnet/contracts/DefaultFinalizeAgent.sol,0.05948
SimpleDAO,contracts/SimpleDAO.sol,0.0606
UnrestrictedTransferAgent,contracts/tokenmarketnet/contracts/security-token/UnrestrictedTransferAgent.sol,0.06164
AccountRulesProxy,contracts/permissioning/contracts/AccountRulesProxy.sol,0.06236
ERC20Errors,contracts/ERC20/ERC20Errors.sol,0.0628
BurnableCrowdsaleToken,contracts/tokenmarketnet/contracts/BurnableCrowdsaleToken.sol,0.06584
AllocatedCrowdsale,contracts/tokenmarketnet/contracts/AllocatedCrowdsale.sol,0.06608
AuthorityUtils,contracts/AuthorityUtils.sol,0.06776
MultiSigCloneFactory,contracts/multisig/MultiSigCloneFactory.sol,0.06932
Migrations,contracts/permissioning/contracts/Migrations.sol,0.07152
ERC20Permit2,contracts/ERC20/ERC20Permit2.sol,0.07204
ERC20Named,contracts/ERC20/ERC20Named.sol,0.07376
Haltable,contracts/tokenmarketnet/contracts/Haltable.sol,0.07412
ERC677,contracts/tokenmarketnet/contracts/security-token/ERC677.sol,0.07672
IERC721Receiver,contracts/IERC721Receiver.sol,0.07692
Initializable,contracts/utils/Initializable.sol,0.07776
FactoryManager,contracts/utils/factory/FactoryManager.sol,0.07824
MyToken,contracts/MyToken.sol,0.07976
AuthorizedCall,contracts/EIP7702/AuthorizedCall.sol,0.08048
FactoryStructs,contracts/utils/factory/FactoryStructs.sol,0.08136
