contract,local_path,source_repository,source_link
KYCAttributes,contracts/tokenmarketnet/contracts/security-token/KYCAttributes.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
ReturnValue,contracts/ReturnValue.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
IERC677,contracts/ERC20/IERC677.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IERC677Receiver,contracts/ERC20/IERC677Receiver.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BrokerbotLib,contracts/utils/BrokerbotLib.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
FractionalERC20,contracts/tokenmarketnet/contracts/FractionalERC20.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AdminProxy,contracts/permissioning/contracts/AdminProxy.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
SecurityTransferAgentInterface,contracts/tokenmarketnet/contracts/security-token/SecurityTransferAgentInterface.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
KYCInterface,contracts/tokenmarketnet/contracts/security-token/KYCInterface.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
PreICOProxyBuyer_EventCompatibility,contracts/tokenmarketnet/contracts/PreICOProxyBuyer_EventCompatibility.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
MultichainWalletArgumentSource,contracts/multisig/MultichainWalletArgumentSource.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ERC677Token,contracts/tokenmarketnet/contracts/security-token/ERC677Token.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
Rollout,contracts/multisig/Rollout.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
MultiSigWalletMaster,contracts/multisig/MultiSigWalletMaster.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
PriceOracle,contracts/compound/contracts/PriceOracle.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
Adoption,contracts/Adoption.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
IOfferFactory,contracts/draggable/IOfferFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IBeacon,contracts/IBeacon.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
IAuthority,contracts/IAuthority.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
NodeRulesProxy,contracts/permissioning/contracts/NodeRulesProxy.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
NullFinalizeAgent,contracts/tokenmarketnet/contracts/NullFinalizeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
Voting,contracts/Voting.sol,CodeforDAO Contracts,https://github.com/CodeForDAO/contracts
Recoverable,contracts/tokenmarketnet/contracts/Recoverable.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
UpgradeAgent,contracts/tokenmarketnet/contracts/UpgradeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AnnouncementInterface,contracts/tokenmarketnet/contracts/security-token/AnnouncementInterface.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
CErc20Delegate,contracts/compound/contracts/CErc20Delegate.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
StandardTokenExt,contracts/tokenmarketnet/contracts/StandardTokenExt.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
MultichainSharesMaster,contracts/multichain/MultichainSharesMaster.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
FinalizeAgent,contracts/tokenmarketnet/contracts/FinalizeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
DefaultFinalizeAgent,contracts/tokenmarketnet/contracts/DefaultFinalizeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
SimpleDAO,contracts/SimpleDAO.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
UnrestrictedTransferAgent,contracts/tokenmarketnet/contracts/security-token/UnrestrictedTransferAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AccountRulesProxy,contracts/permissioning/contracts/AccountRulesProxy.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
ERC20Errors,contracts/ERC20/ERC20Errors.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BurnableCrowdsaleToken,contracts/tokenmarketnet/contracts/BurnableCrowdsaleToken.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AllocatedCrowdsale,contracts/tokenmarketnet/contracts/AllocatedCrowdsale.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AuthorityUtils,contracts/AuthorityUtils.sol,CodeforDAO Contracts,https://github.com/CodeForDAO/contracts
MultiSigCloneFactory,contracts/multisig/MultiSigCloneFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Migrations,contracts/permissioning/contracts/Migrations.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
ERC20Permit2,contracts/ERC20/ERC20Permit2.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ERC20Named,contracts/ERC20/ERC20Named.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Haltable,contracts/tokenmarketnet/contracts/Haltable.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
ERC677,contracts/tokenmarketnet/contracts/security-token/ERC677.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
IERC721Receiver,contracts/IERC721Receiver.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
Initializable,contracts/utils/Initializable.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
FactoryManager,contracts/utils/factory/FactoryManager.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
MyToken,contracts/MyToken.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
AuthorizedCall,contracts/EIP7702/AuthorizedCall.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
