case_uid,contract_name,provider,function_under_test,category,priority,relevance_score,realism_score,effectiveness_score,overall_quality_score,evaluator
Account__claude__TC12__validateUserOp,Account,claude,validateUserOp,Edge,Medium,4,3,4,4,expertA
Account__claude__TC04__getNonce(uint192),Account,claude,getNonce(uint192),Edge,Medium,4,2,4,3,expertA
Account__deepseek__TC06__validateUserOp,Account,deepseek,validateUserOp,Functional,High,5,5,5,5,expertA
Account__deepseek__TC04__getNonce,Account,deepseek,getNonce,Edge,Medium,5,4,4,4,expertA
Account__deepseek__TC15___payPrefund,Account,deepseek,_payPrefund,Functional,Medium,4,5,4,5,expertA
Account__grok__TC06__validateUserOp,Account,grok,validateUserOp,Functional,High,5,5,5,5,expertA
Account__kimi__TC12___payPrefund,Account,kimi,_payPrefund,Functional,Medium,4,5,4,4,expertA
Account__kimi__TC08___validateUserOp,Account,kimi,_validateUserOp,Functional,Medium,4,4,4,4,expertA
Account__kimi__TC09___validateUserOp,Account,kimi,_validateUserOp,Functional,Medium,4,4,4,4,expertA
Adoption__claude__TC02__adopt,Adoption,claude,adopt,Functional,High,5,5,5,5,expertA
Adoption__claude__TC03__adopt,Adoption,claude,adopt,Functional,High,5,5,5,5,expertA
Adoption__claude__TC16__getAdopters,Adoption,claude,getAdopters,Functional,High,5,5,5,5,expertA
Adoption__deepseek__TC14__adopters,Adoption,deepseek,adopters,,,4,5,3,4,expertA
Adoption__deepseek__TC01__adopt,Adoption,deepseek,adopt,Functional,High,5,5,5,5,expertA
Adoption__gemini__TC04__adopt,Adoption,gemini,adopt,Edge,High,5,4,5,5,expertA
Adoption__gemini__TC08__adopt,Adoption,gemini,adopt,Functional,High,5,5,5,5,expertA
Adoption__gemini__TC02__adopt,Adoption,gemini,adopt,Functional,High,5,5,5,5,expertA
Adoption__grok__TC06__adopt,Adoption,grok,adopt,Functional,High,5,5,5,5,expertA
